# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
200 83 17453.000000000004
  30 29.5 172.5 0.313861
  31 30.5 195.5 0.315178
  32 31.5 252.5 0.317072
  33 32.5 220.7 0.315849
  34 33.5 177.5 0.314992
  35 34.5 201.2 0.310738
  36 35.5 272.7 0.314432
  37 36.5 199.2 0.306474
  38 37.5 174.8 0.301905
  39 38.5 225 0.287895
  40 39.5 232.9 0.275102
  41 40.5 202.6 0.266791
  42 41.5 209.1 0.265415
  43 42.5 206.6 0.259991
  44 43.5 210.7 0.260531
  45 44.5 212.4 0.258683
  46 45.5 209.4 0.259488
  47 46.5 204.7 0.261489
  48 47.5 210.4 0.259366
  49 48.5 208.3 0.263314
  50 49.5 208.7 0.261011
  51 50.5 206.1 0.263333
  52 51.5 208.1 0.262816
  53 52.5 208.4 0.261231
  54 53.5 205.1 0.262851
  55 54.5 213.8 0.26043
  56 55.5 208.2 0.261242
  57 56.5 204 0.262412
  58 57.5 201.6 0.264324
  59 58.5 209.7 0.262676
  60 59.5 211 0.262352
  61 60.5 209.6 0.260982
  62 61.5 204.9 0.262474
  63 62.5 212.7 0.261586
  64 63.5 211.3 0.257699
  65 64.5 212 0.260976
  66 65.5 209.2 0.258854
  67 66.5 216.1 0.260333
  68 67.5 208.7 0.261661
  69 68.5 213 0.259291
  70 69.5 208.8 0.261294
  71 70.5 208.1 0.26033
  72 71.5 198 0.261746
  73 72.5 206.5 0.260837
  74 73.5 212.2 0.261089
  75 74.5 212.1 0.26115
  76 75.5 213 0.261515
  77 76.5 204.6 0.264624
  78 77.5 214 0.261006
  79 78.5 208.6 0.262886
  80 79.5 208 0.260209
  81 80.5 204.4 0.262322
  82 81.5 214.2 0.264081
  83 82.5 96.3 0.262628
500 83 17453
  1 0.5 197.8 0.269807
  2 1.5 201.3 0.273963
  3 2.5 254.4 0.286305
  4 3.5 212.9 0.297905
  5 4.5 174.4 0.301124
  6 5.5 219.4 0.305509
  7 6.5 263.5 0.312987
  8 7.5 191.8 0.311706
  9 8.5 176.6 0.311461
  10 9.5 255.9 0.315238
  11 10.5 239.9 0.315308
  12 11.5 172.9 0.317126
  13 12.5 184.7 0.314784
  14 13.5 277 0.318897
  15 14.5 212.9 0.314285
  16 15.5 170.7 0.317674
  17 16.5 197 0.312945
  18 17.5 264.1 0.315116
  19 18.5 213.2 0.315097
  20 19.5 171.6 0.311322
  21 20.5 204.5 0.314279
  22 21.5 273.5 0.315644
  23 22.5 196.5 0.316001
  24 23.5 175.5 0.317534
  25 24.5 270.9 0.315732
  26 25.5 228.6 0.310372
  27 26.5 170.9 0.313205
  28 27.5 239.3 0.31272
  29 28.5 262.9 0.315662
  30 29.5 173.8 0.315053
  31 30.5 191 0.315253
  32 31.5 275.5 0.317306
  33 32.5 208.3 0.314293
  34 33.5 173.1 0.312088
  35 34.5 218.1 0.311887
  36 35.5 268.9 0.311664
  37 36.5 184.8 0.303364
  38 37.5 185.5 0.297708
  39 38.5 238.1 0.287468
  40 39.5 226.4 0.274099
  41 40.5 197.5 0.268196
  42 41.5 213.5 0.263498
  43 42.5 210 0.262625
  44 43.5 207.2 0.262769
  45 44.5 206.8 0.261185
  46 45.5 218.2 0.260152
  47 46.5 206.1 0.265175
  48 47.5 208.5 0.262843
  49 48.5 206.1 0.259977
  50 49.5 206 0.261378
  51 50.5 213.3 0.26053
  52 51.5 211.6 0.262464
  53 52.5 205.2 0.259766
  54 53.5 214.4 0.262486
  55 54.5 216.2 0.259259
  56 55.5 211.5 0.260863
  57 56.5 215.6 0.259456
  58 57.5 212.6 0.259861
  59 58.5 206.5 0.256755
  60 59.5 217.5 0.26025
  61 60.5 206.5 0.260828
  62 61.5 209 0.264452
  63 62.5 206.4 0.26649
  64 63.5 197.5 0.266839
  65 64.5 203.8 0.264943
  66 65.5 200.8 0.263931
  67 66.5 205.6 0.264496
  68 67.5 201.2 0.266203
  69 68.5 203.7 0.264455
  70 69.5 204.7 0.263249
  71 70.5 203.6 0.264953
  72 71.5 200.7 0.261081
  73 72.5 206.1 0.262878
  74 73.5 206.1 0.260164
  75 74.5 212.5 0.26041
  76 75.5 212.1 0.261748
  77 76.5 206.8 0.261779
  78 77.5 207.7 0.260072
  79 78.5 210.1 0.260277
  80 79.5 208.8 0.262936
  81 80.5 211.6 0.263029
  82 81.5 205.2 0.265276
  83 82.5 100.1 0.269629
600 83 17453
  1 0.5 207.5 0.267805
  2 1.5 190.5 0.273335
  3 2.5 240.8 0.288228
  4 3.5 237.5 0.29789
  5 4.5 176.2 0.298982
  6 5.5 186.8 0.305627
  7 6.5 270.2 0.310996
  8 7.5 218.4 0.308378
  9 8.5 170.9 0.311767
  10 9.5 199.7 0.313522
  11 10.5 268.5 0.316001
  12 11.5 204.8 0.313074
  13 12.5 172.8 0.314375
  14 13.5 199.9 0.317137
  15 14.5 267.6 0.318189
  16 15.5 206.9 0.316726
  17 16.5 170.1 0.312595
  18 17.5 207.6 0.314689
  19 18.5 281.6 0.317179
  20 19.5 186 0.312919
  21 20.5 173.5 0.315759
  22 21.5 249.3 0.315942
  23 22.5 250.8 0.315014
  24 23.5 172 0.315746
  25 24.5 197.4 0.3123
  26 25.5 295.4 0.316874
  27 26.5 182.6 0.313943
  28 27.5 176.2 0.314587
  29 28.5 290.2 0.318014
  30 29.5 209.5 0.316998
  31 30.5 178.6 0.313388
  32 31.5 270.5 0.316945
  33 32.5 225.9 0.313781
  34 33.5 178 0.308756
  35 34.5 244.7 0.307637
  36 35.5 249.4 0.308276
  37 36.5 175.9 0.299195
  38 37.5 202.5 0.292132
  39 38.5 247.3 0.285813
  40 39.5 211.2 0.27369
  41 40.5 201.1 0.267832
  42 41.5 212.9 0.268238
  43 42.5 207.3 0.260531
  44 43.5 212.2 0.260891
  45 44.5 211.6 0.259076
  46 45.5 214.1 0.259752
  47 46.5 208.1 0.257464
  48 47.5 210.6 0.259697
  49 48.5 212.9 0.257185
  50 49.5 210.1 0.259765
  51 50.5 217.3 0.25737
  52 51.5 211.6 0.257732
  53 52.5 211.1 0.2618
  54 53.5 208.3 0.260941
  55 54.5 215.1 0.261654
  56 55.5 207.9 0.259543
  57 56.5 210.2 0.263214
  58 57.5 211.4 0.262443
  59 58.5 200.5 0.265033
  60 59.5 211.3 0.262222
  61 60.5 207.4 0.264646
  62 61.5 205.2 0.266118
  63 62.5 204.8 0.264722
  64 63.5 204.8 0.265723
  65 64.5 203.2 0.261952
  66 65.5 211.8 0.267054
  67 66.5 196.4 0.265917
  68 67.5 207.6 0.263608
  69 68.5 201.7 0.265402
  70 69.5 205.1 0.265324
  71 70.5 196.4 0.263592
  72 71.5 198.5 0.267722
  73 72.5 200.1 0.266289
  74 73.5 204.2 0.262656
  75 74.5 213.7 0.264984
  76 75.5 207.5 0.26126
  77 76.5 207.2 0.262098
  78 77.5 198.5 0.262569
  79 78.5 211.3 0.264304
  80 79.5 205.4 0.264254
  81 80.5 207.3 0.261997
  82 81.5 208.6 0.265281
  83 82.5 95.5 0.265433
700 83 17453.000000000004
  1 0.5 201.1 0.274985
  2 1.5 185.9 0.278196
  3 2.5 215.6 0.28601
  4 3.5 257.8 0.298099
  5 4.5 191.7 0.298226
  6 5.5 172.6 0.303344
  7 6.5 210.5 0.305472
  8 7.5 262 0.310734
  9 8.5 199.6 0.309727
  10 9.5 170.4 0.31211
  11 10.5 203.2 0.31002
  12 11.5 279.7 0.315263
  13 12.5 192.5 0.314424
  14 13.5 169.6 0.315287
  15 14.5 243.3 0.315092
  16 15.5 257.5 0.31539
  17 16.5 175 0.313048
  18 17.5 190.5 0.314678
  19 18.5 280.2 0.317094
  20 19.5 204.8 0.316919
  21 20.5 172.3 0.31619
  22 21.5 243.5 0.314835
  23 22.5 257.9 0.313898
  24 23.5 171.7 0.310977
  25 24.5 186.6 0.309616
  26 25.5 300.4 0.317677
  27 26.5 189 0.312519
  28 27.5 171.1 0.315805
  29 28.5 262.3 0.315349
  30 29.5 241.5 0.316654
  31 30.5 170.8 0.315028
  32 31.5 217.4 0.31161
  33 32.5 279.9 0.312388
  34 33.5 178 0.309228
  35 34.5 202.9 0.306661
  36 35.5 277.1 0.306116
  37 36.5 196.6 0.299824
  38 37.5 199.5 0.291289
  39 38.5 258.5 0.282541
  40 39.5 213 0.266369
  41 40.5 203.7 0.261771
  42 41.5 218.9 0.261004
  43 42.5 217.6 0.259276
  44 43.5 214.5 0.262145
  45 44.5 215.7 0.25852
  46 45.5 213.7 0.256593
  47 46.5 213.2 0.257094
  48 47.5 211.9 0.259317
  49 48.5 208.8 0.259201
  50 49.5 209 0.26294
  51 50.5 209.6 0.260987
  52 51.5 213.9 0.260443
  53 52.5 210.9 0.26288
  54 53.5 202.5 0.264743
  55 54.5 200.1 0.2641
  56 55.5 209.2 0.262895
  57 56.5 205.7 0.265748
  58 57.5 208 0.262209
  59 58.5 202.2 0.264404
  60 59.5 211 0.264906
  61 60.5 204.3 0.263823
  62 61.5 205.5 0.263331
  63 62.5 206.8 0.263629
  64 63.5 209.1 0.262672
  65 64.5 208.2 0.265579
  66 65.5 198.5 0.261366
  67 66.5 205.6 0.263152
  68 67.5 209.6 0.262208
  69 68.5 212.9 0.260956
  70 69.5 201.9 0.263126
  71 70.5 201.5 0.26355
  72 71.5 198.9 0.265515
  73 72.5 201.7 0.263063
  74 73.5 209.5 0.268299
  75 74.5 202.4 0.265863
  76 75.5 202.4 0.261844
  77 76.5 202.1 0.265616
  78 77.5 201.7 0.263192
  79 78.5 205 0.264763
  80 79.5 203.5 0.266071
  81 80.5 202.5 0.265208
  82 81.5 205.1 0.269323
  83 82.5 100.7 0.274645
800 83 17453.000000000004
  1 0.5 195 0.280483
  2 1.5 178 0.280695
  3 2.5 194.5 0.290407
  4 3.5 238.8 0.294176
  5 4.5 230.1 0.302291
  6 5.5 176.8 0.302741
  7 6.5 174.3 0.306252
  8 7.5 246.8 0.307014
  9 8.5 251.7 0.313444
  10 9.5 173.1 0.310091
  11 10.5 185.8 0.30665
  12 11.5 280.9 0.313757
  13 12.5 209.1 0.312291
  14 13.5 170.5 0.314464
  15 14.5 231.2 0.316105
  16 15.5 266.9 0.317164
  17 16.5 176.7 0.314853
  18 17.5 184.9 0.312725
  19 18.5 275.5 0.317667
  20 19.5 215 0.315712
  21 20.5 171.1 0.313592
  22 21.5 237.9 0.315318
  23 22.5 264.8 0.31604
  24 23.5 171.7 0.31606
  25 24.5 192.2 0.313109
  26 25.5 297.4 0.317776
  27 26.5 186.4 0.313881
  28 27.5 172.3 0.311104
  29 28.5 264.1 0.312906
  30 29.5 238.3 0.316268
  31 30.5 171.7 0.313016
  32 31.5 209.5 0.310329
  33 32.5 281.1 0.31132
  34 33.5 184 0.307577
  35 34.5 182 0.306038
  36 35.5 285.8 0.307136
  37 36.5 207.6 0.294185
  38 37.5 183.1 0.286394
  39 38.5 258.1 0.279358
  40 39.5 221 0.266552
  41 40.5 208.3 0.258309
  42 41.5 232.1 0.259154
  43 42.5 215.5 0.255216
  44 43.5 216.5 0.258588
  45 44.5 223.4 0.257825
  46 45.5 215.4 0.259146
  47 46.5 209.9 0.258657
  48 47.5 206.5 0.260651
  49 48.5 205.4 0.260846
  50 49.5 208.6 0.263797
  51 50.5 206.1 0.259685
  52 51.5 212 0.262175
  53 52.5 213.5 0.263156
  54 53.5 201.5 0.263338
  55 54.5 208.8 0.26138
  56 55.5 201.6 0.259219
  57 56.5 210.3 0.262111
  58 57.5 205.7 0.263466
  59 58.5 205.8 0.263941
  60 59.5 208.1 0.263082
  61 60.5 206.3 0.26569
  62 61.5 207.9 0.262853
  63 62.5 204.2 0.263523
  64 63.5 208.4 0.264105
  65 64.5 203.2 0.2627
  66 65.5 203.3 0.262066
  67 66.5 207.7 0.263236
  68 67.5 211.4 0.262361
  69 68.5 205.8 0.263739
  70 69.5 202.4 0.26202
  71 70.5 207.1 0.260598
  72 71.5 203.5 0.262982
  73 72.5 203.6 0.264355
  74 73.5 206.7 0.261648
  75 74.5 204.4 0.261949
  76 75.5 201.9 0.264782
  77 76.5 206.7 0.264752
  78 77.5 201.6 0.265518
  79 78.5 203.4 0.265838
  80 79.5 206.4 0.269052
  81 80.5 199.4 0.266354
  82 81.5 190.9 0.271226
  83 82.5 106.1 0.273882
900 83 17453.000000000004
  1 0.5 196.4 0.273862
  2 1.5 185.1 0.277613
  3 2.5 206.1 0.290037
  4 3.5 247.5 0.299787
  5 4.5 209.5 0.30044
  6 5.5 173 0.30517
  7 6.5 192.2 0.301392
  8 7.5 263 0.308262
  9 8.5 218.9 0.308937
  10 9.5 172.3 0.311066
  11 10.5 197.5 0.307296
  12 11.5 274.4 0.312799
  13 12.5 202.5 0.3097
  14 13.5 172.5 0.313232
  15 14.5 231.7 0.313372
  16 15.5 267.4 0.315145
  17 16.5 174.3 0.315733
  18 17.5 183 0.312328
  19 18.5 293.2 0.316189
  20 19.5 199.7 0.312728
  21 20.5 171.5 0.312642
  22 21.5 246.4 0.312256
  23 22.5 255.2 0.31228
  24 23.5 172.2 0.310896
  25 24.5 189 0.312882
  26 25.5 300 0.314646
  27 26.5 186.8 0.315298
  28 27.5 173.2 0.311861
  29 28.5 273.8 0.316607
  30 29.5 227.9 0.311543
  31 30.5 171.6 0.312283
  32 31.5 247.3 0.310424
  33 32.5 255.3 0.308198
  34 33.5 172.5 0.305149
  35 34.5 219.2 0.300896
  36 35.5 271.8 0.303253
  37 36.5 184.1 0.297148
  38 37.5 197.2 0.286668
  39 38.5 252 0.280706
  40 39.5 214.6 0.269614
  41 40.5 201 0.264438
  42 41.5 218 0.263806
  43 42.5 218.7 0.261856
  44 43.5 208 0.259834
  45 44.5 212 0.259691
  46 45.5 213.2 0.263132
  47 46.5 215.6 0.258269
  48 47.5 210.7 0.259833
  49 48.5 216.4 0.259682
  50 49.5 211.5 0.259072
  51 50.5 213 0.255993
  52 51.5 216.5 0.258793
  53 52.5 211.5 0.260981
  54 53.5 203.6 0.261949
  55 54.5 211.6 0.263
