# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17452.999999999996
  31 30.5 170.3 0.310079
  32 31.5 217.3 0.310569
  33 32.5 268.9 0.31328
  34 33.5 188.6 0.307031
  35 34.5 172.5 0.31122
  36 35.5 234.3 0.309225
  37 36.5 261.7 0.311685
  38 37.5 175.9 0.306647
  39 38.5 182 0.302489
  40 39.5 247.9 0.298907
  41 40.5 228.3 0.289996
  42 41.5 186.1 0.281488
  43 42.5 209 0.274633
  44 43.5 217.9 0.270737
  45 44.5 212 0.268316
  46 45.5 210.7 0.269174
  47 46.5 207.4 0.269765
  48 47.5 211.8 0.272608
  49 48.5 213.6 0.271203
  50 49.5 210.4 0.273461
  51 50.5 210.2 0.270872
  52 51.5 205.9 0.271332
  53 52.5 212.8 0.26951
  54 53.5 214.9 0.273737
  55 54.5 213.9 0.273681
  56 55.5 213.6 0.26856
  57 56.5 210.9 0.271569
  58 57.5 206.1 0.272177
  59 58.5 208.4 0.268909
  60 59.5 212.3 0.270841
  61 60.5 207.8 0.269816
  62 61.5 207.4 0.266896
  63 62.5 213.8 0.271482
  64 63.5 211.4 0.271121
  65 64.5 213.1 0.26786
  66 65.5 210.4 0.268829
  67 66.5 208.7 0.272712
  68 67.5 210.1 0.267583
  69 68.5 209.5 0.269006
  70 69.5 209.5 0.268187
  71 70.5 214.2 0.269233
  72 71.5 206.6 0.268673
  73 72.5 214.3 0.269467
  74 73.5 209.6 0.269171
  75 74.5 209.2 0.271965
  76 75.5 213.4 0.269852
  77 76.5 212 0.271519
  78 77.5 209 0.26872
  79 78.5 209.7 0.272985
  80 79.5 194.8 0.276877
  81 80.5 208.3 0.281128
  82 81.5 240.8 0.2902
  83 82.5 56.7 0.292277
400 83 17453.000000000004
  1 0.5 206.1 0.297694
  2 1.5 261.1 0.306989
  3 2.5 204.6 0.302154
  4 3.5 171.4 0.306511
  5 4.5 210.8 0.307719
  6 5.5 276.1 0.308758
  7 6.5 187 0.304841
  8 7.5 170.9 0.306438
  9 8.5 224.6 0.307088
  10 9.5 268.7 0.310502
  11 10.5 180.6 0.307462
  12 11.5 173.4 0.311579
  13 12.5 240.5 0.312438
  14 13.5 251.7 0.311675
  15 14.5 179.9 0.312402
  16 15.5 175.4 0.310917
  17 16.5 248.9 0.309943
  18 17.5 246.9 0.310646
  19 18.5 173.9 0.304525
  20 19.5 178.2 0.305866
  21 20.5 263.5 0.308144
  22 21.5 231 0.304767
  23 22.5 171.7 0.307018
  24 23.5 185.8 0.306191
  25 24.5 274.1 0.310623
  26 25.5 214.6 0.306315
  27 26.5 170.3 0.308286
  28 27.5 204.5 0.304013
  29 28.5 273.3 0.309664
  30 29.5 196.8 0.305487
  31 30.5 172.9 0.308651
  32 31.5 228.9 0.310682
  33 32.5 264.9 0.310709
  34 33.5 179.2 0.311017
  35 34.5 172.5 0.31252
  36 35.5 248.4 0.314082
  37 36.5 248.5 0.311169
  38 37.5 174.1 0.303867
  39 38.5 179.8 0.303901
  40 39.5 260.1 0.299882
  41 40.5 223.6 0.290463
  42 41.5 180.4 0.28365
  43 42.5 203.2 0.2763
  44 43.5 223.1 0.274518
  45 44.5 211.4 0.269633
  46 45.5 212 0.269725
  47 46.5 210.8 0.270652
  48 47.5 211 0.270085
  49 48.5 208.1 0.268123
  50 49.5 204.4 0.271296
  51 50.5 214.5 0.270617
  52 51.5 208.1 0.271675
  53 52.5 212.2 0.26925
  54 53.5 212.8 0.273907
  55 54.5 211.9 0.272226
  56 55.5 213.1 0.269358
  57 56.5 205.2 0.273203
  58 57.5 215.9 0.273516
  59 58.5 209 0.269374
  60 59.5 214.1 0.270157
  61 60.5 205.8 0.270168
  62 61.5 205.1 0.269153
  63 62.5 212.5 0.271558
  64 63.5 212 0.275064
  65 64.5 213.2 0.274611
  66 65.5 212.2 0.271001
  67 66.5 211.2 0.272034
  68 67.5 210.5 0.273935
  69 68.5 209.2 0.272194
  70 69.5 214 0.272005
  71 70.5 206.4 0.271855
  72 71.5 208.5 0.272045
  73 72.5 212 0.270684
  74 73.5 211.5 0.270524
  75 74.5 206 0.273883
  76 75.5 210.9 0.270333
  77 76.5 215.5 0.269099
  78 77.5 217.4 0.269645
  79 78.5 208.5 0.270808
  80 79.5 198 0.278346
  81 80.5 197.2 0.280292
  82 81.5 256.9 0.293825
  83 82.5 48.1 0.292039
500 83 17452.999999999996
  1 0.5 207.7 0.302494
  2 1.5 268.7 0.307852
  3 2.5 196.4 0.304202
  4 3.5 171.7 0.303821
  5 4.5 221.2 0.305315
  6 5.5 271.9 0.30986
  7 6.5 180.7 0.305947
  8 7.5 173 0.305856
  9 8.5 237.9 0.308098
  10 9.5 256.3 0.309778
  11 10.5 178 0.306064
  12 11.5 174.9 0.30989
  13 12.5 256.6 0.31096
  14 13.5 239.2 0.313518
  15 14.5 174.1 0.309678
  16 15.5 181.6 0.30758
  17 16.5 270.1 0.310089
  18 17.5 221.7 0.30791
  19 18.5 171.6 0.305236
  20 19.5 186.7 0.305353
  21 20.5 274.8 0.31035
  22 21.5 212.2 0.302368
  23 22.5 170.9 0.305691
  24 23.5 196.6 0.302865
  25 24.5 283.4 0.306582
  26 25.5 195.3 0.306265
  27 26.5 169.5 0.307274
  28 27.5 215.5 0.307862
  29 28.5 270.7 0.312547
  30 29.5 189.2 0.310229
  31 30.5 172.6 0.312144
  32 31.5 225.7 0.311647
  33 32.5 266.9 0.312532
  34 33.5 180 0.30982
  35 34.5 172.1 0.310572
  36 35.5 241.5 0.31018
  37 36.5 254.2 0.310163
  38 37.5 177.7 0.303724
  39 38.5 181.5 0.303506
  40 39.5 247.2 0.300821
  41 40.5 231.4 0.292644
  42 41.5 183.9 0.286354
  43 42.5 200.2 0.280314
  44 43.5 225.7 0.274963
  45 44.5 212.2 0.267266
  46 45.5 203.9 0.271432
  47 46.5 212.3 0.272011
  48 47.5 204.2 0.273233
  49 48.5 213.7 0.272576
  50 49.5 206.5 0.269546
  51 50.5 209.7 0.269738
  52 51.5 214.3 0.268941
  53 52.5 212.8 0.269197
  54 53.5 206.5 0.273273
  55 54.5 214.9 0.272798
  56 55.5 204.3 0.26829
  57 56.5 207.9 0.27405
  58 57.5 214 0.273216
  59 58.5 212.7 0.2741
  60 59.5 211.8 0.272739
  61 60.5 212.4 0.270639
