# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17453
  32 31.5 229.4 0.310834
  33 32.5 260.9 0.311813
  34 33.5 183 0.30724
  35 34.5 174 0.31054
  36 35.5 239.2 0.310027
  37 36.5 255.4 0.311105
  38 37.5 176.4 0.306471
  39 38.5 173.5 0.304672
  40 39.5 244.7 0.295027
  41 40.5 232.2 0.287024
  42 41.5 191.4 0.275854
  43 42.5 205.4 0.270458
  44 43.5 219.5 0.270137
  45 44.5 205.2 0.268788
  46 45.5 206.9 0.268332
  47 46.5 212.1 0.270103
  48 47.5 209.1 0.272478
  49 48.5 209.4 0.27128
  50 49.5 212.6 0.270169
  51 50.5 214.6 0.265017
  52 51.5 213.1 0.266073
  53 52.5 208.1 0.265453
  54 53.5 208.2 0.267881
  55 54.5 212.8 0.271115
  56 55.5 208.1 0.271947
  57 56.5 215.6 0.269141
  58 57.5 208.4 0.268216
  59 58.5 206 0.270341
  60 59.5 210.4 0.272166
  61 60.5 211.9 0.270989
  62 61.5 216.2 0.26824
  63 62.5 208.3 0.268447
  64 63.5 217.1 0.271955
  65 64.5 206.5 0.268158
  66 65.5 207.1 0.267439
  67 66.5 212.3 0.273016
  68 67.5 217.8 0.270771
  69 68.5 208 0.27037
  70 69.5 206.6 0.272316
  71 70.5 210.9 0.270247
  72 71.5 217 0.270231
  73 72.5 210.1 0.268631
  74 73.5 208.7 0.268949
  75 74.5 213.2 0.266213
  76 75.5 212.1 0.271799
  77 76.5 209.7 0.271412
  78 77.5 208.7 0.271184
  79 78.5 215.2 0.274649
  80 79.5 193.8 0.27792
  81 80.5 197.6 0.282378
  82 81.5 242.3 0.290409
  83 82.5 69.7 0.297964
400 83 17453.000000000004
  1 0.5 207.7 0.30148
  2 1.5 254.5 0.306485
  3 2.5 207.2 0.307624
  4 3.5 173.7 0.310175
  5 4.5 205.4 0.308612
  6 5.5 276.2 0.314879
  7 6.5 190.5 0.309192
  8 7.5 172.2 0.311729
  9 8.5 216.4 0.307798
  10 9.5 274.6 0.310002
  11 10.5 183.3 0.306187
  12 11.5 174 0.308794
  13 12.5 237.8 0.309522
  14 13.5 253.3 0.308606
  15 14.5 180 0.306574
  16 15.5 177.7 0.30554
  17 16.5 258.9 0.307963
  18 17.5 236.4 0.311392
  19 18.5 172 0.312927
  20 19.5 181.9 0.306593
  21 20.5 276.1 0.312118
  22 21.5 217.2 0.311357
  23 22.5 170 0.312928
  24 23.5 194.8 0.309264
  25 24.5 283.2 0.312092
  26 25.5 197.8 0.306607
  27 26.5 170.4 0.308425
  28 27.5 211.9 0.307204
